Time,Source IP,Destination IP,Protocol,Length
2023-10-18 19:13:41.864248,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:13:42.501024,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:42.504428,192.168.1.14,192.168.1.75,TCP,74,Source
2023-10-18 19:13:42.504678,192.168.1.75,192.168.1.14,TCP,66,Destination
2023-10-18 19:13:42.505096,192.168.1.75,192.168.1.14,TCP,391,Destination
2023-10-18 19:13:42.514466,192.168.1.14,192.168.1.75,TCP,356,Source
2023-10-18 19:13:42.514467,192.168.1.14,192.168.1.75,TCP,1123,Source
2023-10-18 19:13:42.514714,192.168.1.75,192.168.1.14,TCP,66,Destination
2023-10-18 19:13:42.979246,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:13:43.967545,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:13:44.777144,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:13:45.504012,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:46.503011,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:47.503153,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:48.503852,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:49.505039,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:50.506227,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:52.506971,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:55.506736,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:56.507844,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:57.508071,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:58.509197,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:13:59.509872,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:00.511078,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:02.511237,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:15.243208,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:16.244037,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:17.243856,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:18.245009,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:19.246198,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:20.247363,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:22.247937,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:27.753961,192.168.1.75,192.168.1.14,TCP,54,Destination
2023-10-18 19:14:27.764996,192.168.1.14,192.168.1.75,TCP,66,Source
2023-10-18 19:14:34.308370,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:35.308498,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:36.309295,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:37.309449,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:38.310130,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:38.850232,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:14:39.310456,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:14:41.311291,192.168.1.75,192.168.1.14,TCP,78,Destination
2023-10-18 19:15:12.811244,192.168.1.75,192.168.1.14,TCP,54,Destination
2023-10-18 19:15:12.816685,192.168.1.14,192.168.1.75,TCP,66,Source
2023-10-18 19:15:41.620421,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:15:42.935488,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:15:43.609798,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:15:44.901568,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:15:48.204878,192.168.1.14,192.168.1.75,TCP,54,Source
2023-10-18 19:16:39.187887,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:17:42.034060,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:17:42.819034,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:17:43.715274,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:17:44.733041,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:18:35.004878,192.168.1.14,239.255.255.250,UDP,179,Source
2023-10-18 19:18:39.190845,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:19:41.695923,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:19:42.572912,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:19:43.949881,192.168.1.14,192.168.1.75,UDP,528,Source
2023-10-18 19:19:44.570842,192.168.1.14,192.168.1.75,UDP,528,Source
